Idle Energy:
kernel_processes: 10392.91599999888
system_processes: 38992.888000003004
policy: 225.1159999999373
sidecar: 2420.6320000000546
uva: 591.0280000000075
rabbitmq: 507.43599999996144
surf: 582.8959999999435
vu: 637.3320000000391
api-gateway: 127.82399999999394
orchestrator: 127.81999999999395
policy-enforcer: 188.03599999998866
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 10372.268000000156
system_processes: 39211.53999999868
policy: 228.42800000005462
sidecar: 2387.895999999969
uva: 561.1519999999917
rabbitmq: 521.4360000000123
surf: 587.1480000000012
vu: 623.2440000000626
api-gateway: 140.41600000000028
orchestrator: 159.79599999999422
policy-enforcer: 200.72800000000402
sql-algorithm: 0
sql-query: 0
