Idle Energy:
kernel_processes: 10424.444000000056
system_processes: 38122.22400000118
policy: 233.92399999998446
sidecar: 2393.9880000000226
uva: 556.4279999999911
rabbitmq: 533.2319999999833
surf: 642.3559999999924
vu: 616.6720000000018
api-gateway: 132.04399999999924
orchestrator: 192.56800000000004
policy-enforcer: 189.89999999999645
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 10396.37600000059
system_processes: 38274.29999999874
policy: 228.81200000001084
sidecar: 2369.591999999994
uva: 553.0080000000107
rabbitmq: 529.7799999999968
surf: 636.4159999999946
vu: 621.2080000000075
api-gateway: 94.46400000000298
orchestrator: 104.7320000000007
policy-enforcer: 151.47599999999795
sql-algorithm: 0
sql-query: 0
